原始工作票文本 (摘要),一级风险类型,二级风险类型,风险等级
[DTS] 调度员培训模拟系统启动失败，不影响实时生产系统。,数据与软件风险,软件功能瘫痪,四级
[SCADA] 告警窗频繁闪烁，运维人员临时屏蔽所有告警音响，导致新发故障未被及时发现。,监视功能风险,告警功能失效,三级
[SCADA] 重启前置机fep_main进程期间，未进行主备切换，导致全网数据刷新中断2小时。,监视功能风险,画面/数据不刷新,二级
[EMS] 事项服务器磁盘空间满，新的告警记录无法写入数据库。,监视功能风险,告警功能失效,三级
[环境] 机房精密空调故障停机，导致室内温度升高至35度，设备有过热宕机风险。,硬件与基础设施风险,供电/环境异常,三级
[SCADA] 告警窗频繁闪烁，运维人员临时屏蔽所有告警音响，导致新发故障未被及时发现。,监视功能风险,告警功能失效,三级
[电源] UPS蓄电池组充放电测试，未确认旁路市电正常，存在全站失电风险。,硬件与基础设施风险,供电/环境异常,二级
[硬件] 服务器内存条插拔不当造成金手指损坏，服务器无法启动。,硬件与基础设施风险,硬件设备损坏,四级
[Web] Web发布服务器故障，导致公司管理网用户无法查看实时监视页面。,监视功能风险,全网/部分监控中断,四级
[SCADA] 数据库点号映射错误，导致对A站开关操作实际作用于B站。,控制功能风险,误发遥控/遥调指令,一级
[网络] 错误连接网线导致两个不同网段短接，造成局域网IP冲突和阻塞。,网络与安全风险,网络风暴/阻塞,三级
[SCADA] 备用服务器长期未重启，接管主用服务后立即崩溃，导致单机运行风险。,数据与软件风险,双机/双网冗余失效,二级
[安防] II区防火墙策略误开放高危端口，未限制源IP，存在入侵风险。,网络与安全风险,网络安全防线突破,二级
[PAS] 状态估计高级应用升级后无法收敛，导致网络分析功能不可用。,数据与软件风险,软件功能瘫痪,四级
[EMS] 数据库死锁导致前置应用无法写入实时数据，全网遥测数据不再更新。,监视功能风险,画面/数据不刷新,二级
[硬件] 服务器内存条插拔不当造成金手指损坏，服务器无法启动。,硬件与基础设施风险,硬件设备损坏,四级
[环境] 机房漏水检测装置误报，导致自动排水系统启动，影响机房湿度。,硬件与基础设施风险,供电/环境异常,四级
[硬件] 磁盘阵列硬盘故障亮红灯，更换过程中误拔出正常硬盘。,硬件与基础设施风险,硬件设备损坏,三级
[环境] 机房精密空调故障停机，导致室内温度升高至35度，设备有过热宕机风险。,硬件与基础设施风险,供电/环境异常,三级
[EMS] 历史库服务器磁盘阵列扩容误格式化分区，导致近一年历史数据丢失。,数据与软件风险,历史/核心数据丢失,二级
[硬件] 更换调度大屏控制器电源未佩戴防静电手环，导致控制板烧毁。,硬件与基础设施风险,硬件设备损坏,四级
